"","DGAT2","CD59","JUP","BLOC1S1","PAM_50","tissue type","IRE1 gene sig(Logue et al. 2018)","GOBP_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE.txt","HALLMARK_UNFOLDED_PROTEIN_RESPONSE.txt","Lommond_2018_RIDD.txt","REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S.txt","REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES.txt","REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR.txt"
"TCGA-BH-A18N-11A-43R-A12D-07",19.3880690408701,21.6281191291954,20.4708986102316,17.7519416110478,NA,"Solid Tissue Normal",-1.84741214995309,18.6644937207382,19.1724124069526,18.8918545781546,18.696838925358,18.8229846742866,18.867299801863
"TCGA-A8-A0A1-01A-11R-A00Z-07",17.252391610922,20.2709370711233,20.8036360350878,18.346881155845,"LumA","Primary solid Tumor",-2.53929277162779,19.0646295233241,19.2450812739206,18.7325041377809,18.7514067959988,18.9247389323448,18.9014106799273
"TCGA-A7-A6VV-01A-22R-A33J-07",16.9366522393473,23.1243109951331,21.1417289449352,17.5838702875348,"Basal","Primary solid Tumor",-1.2580150895832,19.2044045625613,19.6267696279992,19.0075188885313,19.3780036832284,19.4195465234066,19.4335132077353
"TCGA-AC-A2QI-01A-12R-A19W-07",15.8808642780832,20.9222945225099,21.3460220997455,17.9557580348907,"LumA","Primary solid Tumor",-2.15364705437333,19.2193634091983,19.2033836788017,18.5989819417762,18.919867573673,19.0167946694161,18.9634891837878
"TCGA-A8-A09T-01A-11R-A00Z-07",13.0211405679571,20.7639211162748,21.1776988031818,18.4585654623852,"LumA","Primary solid Tumor",-2.80197167060279,19.03317454901,19.5832781328692,19.0316619063252,18.7399329325084,18.878216437582,18.8642110378732
"TCGA-AN-A0XL-01A-11R-A10J-07",18.1040731255351,20.3754261956358,20.9601228058936,18.0556259629702,"LumA","Primary solid Tumor",-3.09226988615178,20.3003937775078,19.2888535078586,18.9338803047361,19.0004479828078,19.176564791077,19.1391788707106
"TCGA-E9-A226-01A-21R-A157-07",15.2158264537392,20.6816737260322,20.0136958802588,16.8021395596625,"LumB","Primary solid Tumor",-1.67227367404197,19.0483363115388,19.3134356893312,19.1370589979869,19.005334495126,19.1591938415956,19.1510773361327
"TCGA-E2-A15O-01A-11R-A115-07",13.2057373130379,19.7350509476889,20.872028270616,18.4567189259712,"LumA","Primary solid Tumor",-2.09455387018024,19.1671471140833,19.3647959405937,18.5964524583733,18.561936179158,18.6796049438356,18.7920700320302
"TCGA-A7-A0CE-01A-11R-A00Z-07",17.5219054522493,21.3936079309538,20.7849353182588,18.435341422586,"Basal","Primary solid Tumor",0.062623257328255,19.1363608865273,19.9518508072155,19.1244991947401,19.1630211331922,19.3752376470934,19.6376002467183
"TCGA-AN-A0XR-01A-11R-A109-07",15.3791885703528,20.1796938630769,20.3452918061175,18.6663335398019,"LumB","Primary solid Tumor",-2.07122117515714,19.229253031628,19.5529727132072,18.6843988512229,18.8924955566779,19.2033479255161,19.2290636891533
"TCGA-EW-A6SA-01A-21R-A32P-07",14.4874440395318,18.9321304843689,21.2151231535491,19.6240706901784,NA,"Primary solid Tumor",-2.61947703657179,18.8179152151053,19.9339425687685,18.6242809919014,18.8087357429311,18.902766744922,18.9815107345435
"TCGA-E9-A1RC-01A-11R-A157-07",14.1761224459182,21.0792521890325,20.2815055892311,18.2424503844478,"LumA","Primary solid Tumor",-2.14875709339382,18.8122156278729,19.5452227097164,19.085791973028,18.7574190532407,18.8773346835588,18.9852617252573
"TCGA-S3-A6ZG-01A-22R-A32P-07",14.0658204798686,19.9682965597731,21.0783021732883,18.546849373833,"LumA","Primary solid Tumor",-1.96977633562439,19.106917544509,19.3170948268613,18.7479208299323,18.6400152347254,18.7394990190805,18.7537683122687
"TCGA-AO-A03O-01A-11R-A00Z-07",13.6265315539241,19.5206938257344,20.7676874552043,17.5249008306153,"LumB","Primary solid Tumor",-2.2679766583036,19.0443745458131,19.7649726679035,19.1613814374517,18.9424368472923,19.1676892302875,19.2435682286147
